MAINTENANCE_AGENCY_ID,DOMAIN_ID,NAME,IS_ENUMERATED,DESCRIPTION,DATA_TYPE,CODE,FACET_ID,IS_REFERENCE
ECB2,ECB2_CL_SHS_UNIT,Unit of measure code list,True,,,CL_SHS_UNIT,,True
ECB2,ECB2_CL_YES_NO,Yes/no code list,True,,,CL_YES_NO,,True
ECB2,ECB2_DT,Date,False,,,DT,,True
ECB2,ECB2_InSeTy,Instrument Seniority Type,True,,,InSeTy,,True
ECB2,ECB2_MNTRY,Monetary,False,,,MNTRY,,True
ECB2,ECB2_PrAsCl,Primary Asset Classification 2,True,,,PrAsCl,,True
ECB2,ECB2_RL,Real,False,,,RL,,True
ECB2,ECB2_STRNG,String,False,,,STRNG,,True
ECB2,ECB2_SecSta,Security Status,True,,,SecSta,,True
ECB,ECNMC_ACTVTY_V2,Nomenclature of Economic Activities (NACE revision 2.1) codes,True,"Classification of counterparties according to their economic activities, in accordance with the NACE revision 2.1 statistical classification as laid down in Commission Delegated Regulation (EU) 2023/137, amending Regulation (EC) No 1893/2006 of the European Parliament and of the Council.",,ECNMC_ACTVTY_V2,,True
ECB,ENTTY_RL,Counterparty role,True,Role of the counterparties in an instrument.,,ENTTY_RL,,True
ECB,FDCRY,Fiduciary instruments,True,Fiduciary instruments,,FDCRY,,True
ECB,FRBRNC_STTS,Forbearance status,True,Forbearance status,,FRBRNC_STTS,,True
ECB,FRQNCY,Frequency,True,Frequency,,FRQNCY,,True
ECB,Float,Float,False,Float,Float,,,
ECB,GGRPHCL_ARS,Geographical Area,True,Geographical Area,,GGRPHCL_ARS,,True
ECB,IMPRMNT_ASSSSMNT_MTHD,Impairment assessment method,True,"The method by which the impairment is assessed, if the instrument is subject to impairment in accordance with applied accounting standards. Collective and individual methods are distinguished.",,IMPRMNT_ASSSSMNT_MTHD,,True
ECB,INSTTTNL_SCTR,Institutional sectors,True,Institutional sectors,,INSTTTNL_SCTR,,True
ECB,Integer,Integer,False,Integer,Integer,,,
ECB,LGL_FRM,Legal Form,True,Legal Form,,LGL_FRM,,True
ECB,LGL_PRCDNG_STTS,Status of legal proceedings,True,Status of legal proceedings,,LGL_PRCDNG_STTS,,True
ECB,MNTRY,Monetary,False,Monetary,,MNTRY,,True
ECB,NEVS,Null explanatory values,True,Null explanatory values,,NEVS,,True
ECB,PRDNTL_PRTFL,Prudential portfolio,True,Prudential portfolio,,PRDNTL_PRTFL,,True
ECB,PRJCT_FNNC_LN,Project finance loans,True,Project finance loans,,PRJCT_FNNC_LN,,True
ECB,PRPS,Purpose,True,Purpose,,PRPS,,True
ECB,PRTCTN_VLTN_APPRCH,Protection valuation approach,True,Type of protection valuation; method used to determine the protection value.,,PRTCTN_VLTN_APPRCH,,True
ECB,RCGNTN_STTS,Recognition,True,Recognition,,RCGNTN_STTS,,True
ECB,RCRS,Recourse,True,Recourse,,RCRS,,True
ECB,RFRNC_RT,Reference rate code,True,Reference rate code,,RFRNC_RT,,True
ECB,RL,Real,False,Real,,RL,,True
ECB,RPYMNT_RGHTS,Repayment rights,True,Repayment rights,,RPYMNT_RGHTS,,True
ECB,SBRDNTD_DBT,Subordinated debt,True,Subordinated debt,,SBRDNTD_DBT,,True
ECB,SRC_ENCMBRNC,Encumbrance,True,Encumbrance,,SRC_ENCMBRNC,,True
ECB,STRNG,String,False,String,,STRNG,,True
ECB,SZ,Enterprise size,True,Enterprise size,,SZ,,True
ECB,String,String,False,String,String,,,
ECB,TYP_AMRTSTN,Amortisation type,True,Amortisation type,,TYP_AMRTSTN,,True
ECB,TYP_INSTRMNT,Type of instrument,True,Type of instrument,,TYP_INSTRMNT,,True
ECB,TYP_INTRST_RT,Interest rate type,True,Interest rate type,,TYP_INTRST_RT,,True
ECB,TYP_PRTCTN,Type of protection,True,Type of protection,,TYP_PRTCTN,,True
ECB,TYP_PRTCTN_VL,Type of protection value,True,Identification of the type of value provided in the data attribute ‘Protection value’.,,TYP_PRTCTN_VL,,True
ECB,TYP_TRNSFR,Type of Transfer,True,Type of Transfer,,TYP_TRNSFR,,True
